Day,Month,day of week,angbutter,plain bread,jam,americano,croissant,caffe latte,tiramisu crossant,cacaou deep,pain au chocolat,almond croissant,croque monsieur,mad garlic,milk tea
12,7,5,4,0,0,2,0,0,8,0,0,0,0,0,0
13,7,6,0,0,0,0,0,0,28,0,0,0,0,0,0
14,7,7,9,4,0,0,0,0,5,2,0,0,0,0,1
15,7,1,16,0,1,3,0,1,10,4,0,0,0,0,0
17,7,3,5,0,0,0,0,0,1,2,0,0,0,0,0
19,7,5,7,3,2,0,1,0,2,0,1,0,0,0,0
20,7,6,12,0,0,0,23,0,8,0,4,0,0,0,0
21,7,7,14,0,1,2,5,3,3,0,7,0,0,0,2
22,7,1,12,4,1,3,8,1,2,0,3,1,0,0,2
24,7,3,17,0,0,2,5,1,2,0,4,0,0,0,1
25,7,4,20,5,0,2,1,0,3,0,1,2,0,0,2
26,7,5,17,1,0,3,4,1,3,0,6,6,0,0,0
27,7,6,28,11,1,1,18,0,4,0,8,7,0,0,1
28,7,7,11,8,1,2,6,0,2,0,4,0,0,0,0
29,7,1,8,3,1,1,5,0,2,0,3,0,0,0,0
28,7,1,4,0,0,0,7,0,1,0,0,0,0,0,0
29,7,1,2,0,0,0,0,0,2,0,0,0,0,0,0
31,7,3,9,1,0,3,3,0,1,0,5,3,0,0,1
1,8,4,16,4,1,6,3,0,2,0,4,1,0,0,1
2,8,5,13,5,1,0,9,0,5,0,8,0,0,0,2
3,8,6,24,3,0,0,0,1,3,0,2,0,0,0,0
4,8,7,32,5,3,2,8,0,0,0,4,3,0,0,1
5,8,1,14,8,2,4,8,0,2,0,7,1,0,0,1
7,8,3,16,6,3,0,5,3,5,0,6,2,0,0,1
8,8,4,14,5,1,2,9,2,2,0,4,0,0,0,1
9,8,5,20,7,5,2,5,1,4,0,3,0,0,0,0
10,8,6,13,0,0,0,7,0,0,0,2,0,0,0,1
11,8,7,27,3,0,1,5,0,7,0,8,2,0,0,0
12,8,1,20,5,1,2,5,2,3,0,10,2,0,0,0
14,8,3,19,4,0,3,8,1,1,0,6,2,0,0,0
15,8,4,23,6,4,3,12,0,1,1,5,4,0,0,0
16,8,5,15,4,0,1,18,2,3,0,1,0,0,0,0
17,8,6,8,1,0,0,2,0,1,1,1,1,0,0,0
18,8,7,16,7,7,3,3,1,6,1,4,1,0,0,0
19,8,1,17,2,1,2,12,2,4,3,7,4,0,0,0
21,8,3,15,6,3,7,3,1,7,2,2,4,0,0,1
22,8,4,21,6,0,3,9,1,2,0,4,2,0,0,1
23,8,5,15,0,0,0,5,3,4,1,4,1,0,0,0
24,8,6,19,6,0,1,8,0,0,1,2,1,0,0,1
25,8,7,16,7,0,1,13,2,2,2,5,2,0,0,0
26,8,1,22,2,1,1,2,1,3,1,5,1,0,0,0
28,8,3,10,1,0,3,2,0,6,4,1,1,0,0,0
29,8,4,14,3,0,2,6,2,3,0,3,1,0,0,4
30,8,5,19,7,1,3,5,1,1,1,3,3,0,0,1
31,8,6,25,3,1,5,2,2,3,0,4,1,0,0,0
1,9,7,10,5,0,0,2,1,4,0,5,0,0,0,1
2,9,1,17,4,1,2,3,1,1,5,8,3,0,0,0
4,9,3,9,0,0,0,3,0,3,2,0,4,0,0,0
5,9,4,14,5,3,6,9,2,6,3,7,0,0,0,2
6,9,5,31,5,0,1,1,0,3,3,3,0,0,0,1
7,9,6,11,1,1,0,6,0,2,1,2,2,0,0,0
8,9,7,17,9,4,3,5,0,4,2,0,3,0,0,1
9,9,1,8,1,0,0,2,0,2,0,1,2,0,0,1
11,9,3,18,5,1,2,7,1,3,3,3,0,0,0,1
12,9,4,28,2,1,2,2,1,3,3,2,0,0,0,1
14,9,6,14,2,1,4,4,0,2,6,2,2,0,0,0
15,9,7,9,1,0,1,6,0,4,2,3,2,0,0,0
18,9,3,23,8,0,0,8,1,5,2,4,1,0,0,3
19,9,4,7,1,0,2,1,1,3,5,7,0,0,0,1
20,9,5,23,4,1,6,2,1,8,4,3,3,0,0,2
21,9,6,23,4,2,0,6,1,6,0,4,0,0,0,0
22,9,7,17,3,2,3,8,0,5,6,5,3,0,0,0
23,9,1,18,7,0,1,17,0,4,1,8,3,0,0,0
25,9,3,11,2,1,1,6,3,4,2,6,0,0,0,0
26,9,4,13,4,0,2,2,0,3,1,3,2,0,0,0
27,9,5,2,1,0,2,2,1,0,0,0,0,0,0,0
28,9,6,14,2,0,2,3,3,1,0,2,0,0,0,1
29,9,7,23,7,2,6,7,1,5,2,5,0,0,0,1
30,9,1,19,1,1,1,8,1,4,3,8,2,0,0,3
2,10,3,9,4,0,1,5,0,3,1,0,0,0,0,0
3,10,4,2,5,1,2,4,1,1,2,3,0,0,0,0
4,10,5,18,7,3,5,3,1,7,2,5,3,0,0,1
5,10,6,7,0,0,0,0,0,0,0,2,0,0,0,0
6,10,7,7,0,0,0,2,1,5,1,2,3,0,0,0
7,10,1,6,5,2,4,4,1,1,1,3,0,0,0,0
9,10,3,11,2,1,2,0,0,3,1,0,0,0,0,2
10,10,4,4,0,0,2,2,0,1,2,0,0,0,0,0
11,10,5,17,1,0,0,4,1,7,0,1,0,0,0,0
12,10,6,6,3,1,1,3,0,3,0,1,2,0,0,0
13,10,7,12,1,0,3,4,3,2,2,4,0,0,0,0
14,10,1,8,9,4,11,5,1,4,3,1,3,0,0,2
16,10,3,10,1,0,0,7,2,4,1,7,2,0,0,2
17,10,4,9,3,0,2,2,0,2,0,6,2,0,0,0
18,10,5,12,5,2,0,6,1,3,1,4,3,0,0,0
19,10,6,17,1,1,0,3,0,0,0,1,2,0,0,0
20,10,7,9,5,4,5,5,0,5,2,7,2,0,0,0
21,10,1,22,5,2,1,9,2,1,0,6,0,0,0,0
23,10,3,28,6,2,1,5,1,9,0,6,3,0,0,0
24,10,4,5,1,1,1,1,0,2,3,3,2,0,0,0
25,10,5,13,4,0,2,6,2,6,3,8,0,0,0,0
26,10,6,7,1,1,2,5,1,1,1,2,1,0,0,0
27,10,7,12,5,0,0,3,0,5,0,1,0,0,0,0
28,10,1,24,2,0,4,7,0,2,4,4,0,0,0,0
31,10,4,13,5,1,0,9,2,3,3,5,2,0,0,0
1,11,5,7,1,2,2,7,0,0,0,8,4,0,0,0
2,11,6,6,3,1,0,4,0,2,1,4,0,0,0,1
3,11,7,18,3,2,6,9,3,3,1,6,0,0,0,0
4,11,1,16,7,1,2,0,2,4,2,5,0,0,0,1
6,11,3,2,11,2,1,3,0,1,2,1,0,0,0,0
7,11,4,7,2,1,0,3,1,1,0,2,5,0,0,0
8,11,5,11,6,5,3,8,0,1,1,1,0,0,0,0
9,11,6,17,5,4,3,4,0,4,3,5,1,0,0,0
10,11,7,20,6,2,1,3,2,8,2,4,1,0,0,0
